DeployID,Ptt,DepthSensor,Instr,Date,LocationQuality,Latitude,Longitude,Depth,Temperature,Source
"Thomas",141254,,MiniPAT,06:00:00 14-Feb-2016,,,,0.0,19.9,Status
"Thomas",141254,,MiniPAT,09:00:00 14-Feb-2016,,,,0.0,19.9,Status
"Thomas",141254,,MiniPAT,11:00:00 14-Feb-2016,,,,0.0,19.9,Status
"Thomas",141254,,MiniPAT,21:00:00 14-Feb-2016,,,,0.0,19.9,Status
"Thomas",141254,,MiniPAT,10:00:00 15-Feb-2016,,,,0.0,19.9,Status
"Thomas",141254,,MiniPAT,21:00:00 15-Feb-2016,,,,0.0,20.0,Status
"Thomas",141254,,MiniPAT,22:00:00 15-Feb-2016,,,,0.0,20.0,Status
"Thomas",141254,,MiniPAT,01:00:00 16-Feb-2016,,,,0.0,20.1,Status
"Thomas",141254,,MiniPAT,07:00:00 16-Feb-2016,,,,0.0,20.0,Status
"Thomas",141254,,MiniPAT,14:00:00 16-Feb-2016,,,,0.0,20.0,Status
"Thomas",141254,,MiniPAT,20:00:00 16-Feb-2016,,,,0.0,20.0,Status
"Thomas",141254,,MiniPAT,00:00:00 17-Feb-2016,,,,0.0,19.9,Status
"Thomas",141254,,MiniPAT,06:00:00 17-Feb-2016,,,,0.0,19.8,Status
"Thomas",141254,,MiniPAT,07:00:00 17-Feb-2016,,,,0.0,19.8,Status
"Thomas",141254,,MiniPAT,09:00:00 18-Feb-2016,,,,0.0,20.6,Status
"Thomas",141254,,MiniPAT,17:00:00 18-Feb-2016,,,,0.0,20.7,Status
"Thomas",141254,,MiniPAT,00:00:00 20-Feb-2016,,,,0.0,20.8,Status
"Thomas",141254,,MiniPAT,07:00:00 21-Feb-2016,,,,0.0,19.6,Status
"Thomas",141254,,MiniPAT,08:00:00 21-Feb-2016,,,,0.0,19.6,Status
"Thomas",141254,,MiniPAT,14:00:00 21-Feb-2016,,,,0.0,19.6,Status
"Thomas",141254,,MiniPAT,19:00:00 21-Feb-2016,,,,0.0,19.6,Status
"Thomas",141254,,MiniPAT,08:00:00 22-Feb-2016,,,,0.0,19.8,Status
"Thomas",141254,,MiniPAT,09:00:00 22-Feb-2016,,,,0.0,19.7,Status
"Thomas",141254,,MiniPAT,09:00:00 23-Feb-2016,,,,0.0,20.1,Status
"Thomas",141254,,MiniPAT,14:00:00 23-Feb-2016,,,,0.0,20.1,Status
"Thomas",141254,,MiniPAT,19:00:00 23-Feb-2016,,,,0.0,20.4,Status
"Thomas",141254,,MiniPAT,21:00:00 23-Feb-2016,,,,0.0,20.4,Status
"Thomas",141254,,MiniPAT,07:00:00 27-Feb-2016,,,,0.0,20.0,Status
"Thomas",141254,,MiniPAT,10:00:00 27-Feb-2016,,,,0.0,20.0,Status
"Thomas",141254,,MiniPAT,02:00:00 28-Feb-2016,,,,0.0,20.0,Status
"Thomas",141254,,MiniPAT,05:00:00 28-Feb-2016,,,,0.0,20.0,Status
"Thomas",141254,,MiniPAT,13:00:00 28-Feb-2016,,,,0.0,20.0,Status
"Thomas",141254,,MiniPAT,17:00:00 28-Feb-2016,,,,0.0,19.9,Status
"Thomas",141254,,MiniPAT,00:00:00 29-Feb-2016,,,,0.0,20.1,Status
"Thomas",141254,,MiniPAT,07:00:00 29-Feb-2016,,,,0.0,20.1,Status
"Thomas",141254,,MiniPAT,10:00:00 29-Feb-2016,,,,0.0,20.1,Status
"Thomas",141254,,MiniPAT,12:00:00 29-Feb-2016,,,,0.0,20.2,Status
"Thomas",141254,,MiniPAT,16:00:00 29-Feb-2016,,,,0.0,21.0,Status
"Thomas",141254,,MiniPAT,21:00:00 29-Feb-2016,,,,0.0,20.5,Status
"Thomas",141254,,MiniPAT,23:00:00 29-Feb-2016,,,,0.0,20.3,Status
"Thomas",141254,,MiniPAT,14:00:00 01-Mar-2016,,,,0.0,20.0,Status
"Thomas",141254,,MiniPAT,20:00:00 01-Mar-2016,,,,0.0,20.1,Status
"Thomas",141254,,MiniPAT,21:00:00 01-Mar-2016,,,,0.0,20.0,Status
"Thomas",141254,,MiniPAT,01:00:00 02-Mar-2016,,,,0.0,20.0,Status
"Thomas",141254,,MiniPAT,06:00:00 02-Mar-2016,,,,0.0,20.0,Status
"Thomas",141254,,MiniPAT,08:00:00 02-Mar-2016,,,,0.0,20.0,Status
